id;idn_var_features;n_var_nome;idn_var_app;idn_var_usuario
1;Applications;Cedi Baht;internet;connecting
2;teal Plastic;Cheese productize PNG;Up-sized online withdrawal;Integrated Communications
3;Turkmenistan;Burundi visualize RSS;Account;Bedfordshire Sports Gloves
4;SCSI back Alaska;generation Movies info-mediaries;Supervisor Account;Ball Planner Texas
5;target Monitored Namibia;black Planner;exploit mindshare override;salmon Avon View
6;withdrawal invoice;Berkshire wireless administration;Islands payment;Chicken
7;Progressive hard;Macao collaborative back;compress;Fresh
8;Director;Loan frictionless;user-centric static;iterate cyan Russian
9;pink Buckinghamshire Persistent;Samoa unleash visionary;Tasty;Loan Universal analyzing
10;Granite TCP synergies;Crossing mission-critical;quantifying;card aggregate
