id;idn_var_grupo;n_var_nome;idn_var_usuario;idn_var_empresa
1;Cambridgeshire;Palau;Legacy quantifying;Berkshire Division
2;Money morph;optical navigating;bypassing bypassing;withdrawal port
3;redundant Licensed Regional;Account;core;Chicken platforms
4;Tuna;functionalities Developer;Producer;client-driven
5;Quality overriding Intranet;Borders;green;executive forecast
6;seize;payment Intranet;Car orchid;invoice
7;granular Metal Savings;Bacon Interactions Palladium;Trail indigo;B2C scale
8;hacking;payment;Functionality Steel;Persistent
9;synergies;New Bedfordshire;Cambridgeshire haptic deposit;dynamic Table
10;pink;schemas explicit Innovative;Frozen Personal;Ecuador Key e-enable
