id;idn_var_grupo;idn_var_papel;idn_var_usuario;idn_var_empresa
1;Shirt;Buckinghamshire;Senior;Product Enhanced
2;Sol Plastic;Gloves;Course Avon;Dollar Bedfordshire
3;software bandwidth-monitored productivity;cultivate infomediaries array;Global cross-platform;Agent motivating
4;Alaska;Albania Incredible;Garden;haptic USB
5;eyeballs capacitor;Sports Facilitator niches;green maroon;Principe Wooden
6;local Samoa;Mouse Bedfordshire;Fort transmitting;Forward Savings payment
7;RSS;AI;Springs;navigating Consultant magenta
8;Optimization Island;Assimilated;intuitive;sexy PCI Berkshire
9;TCP Loan Web;complexity green digital;Incredible;Administrator Cheese synthesize
10;Savings;Soft Buckinghamshire;Configurable ubiquitous granular;Bedfordshire Movies ubiquitous
