id;idn_var_app;n_var_nome;idn_var_usuario;idn_var_empresa
1;Avon;hack;Reactive;Awesome
2;Dirham repurpose Rubber;client-server SSL Account;set withdrawal Home;Metal
3;Assurance;Credit matrix Corporate;Serbia override best-of-breed;reboot repurpose Ohio
4;Frozen web-enabled;Bedfordshire withdrawal Maine;Automotive Tasty;Mayotte Mauritius
5;bypassing Creative;TCP JSON;mobile;Applications port
6;compress leverage deposit;Islands index transmit;Car array Lead;Research Granite
7;Towels Oklahoma Cloned;Sharable;Ergonomic Account Optimization;Wisconsin
8;Bedfordshire;Re-engineered connecting;Unbranded;Optimization
9;bypass Tuvalu;transmitter markets transmitter;teal Representative;optical compressing
10;Steel Future copy;Director Fantastic;website Tasty;user-facing incremental
