id;idn_var_app;idn_var_empresa;idn_var_usuario
1;invoice;generate partnerships Republic);Cotton
2;Sleek;scalable toolset Congo;envisioneer
3;Tuna Ball;Automotive Table scalable;Outdoors Garden Integration
4;productivity hacking;stable;reserved
5;projection invoice connecting;Human;access Kids
6;holistic workforce maximize;Kentucky;payment rich maximize
7;Hat Pizza;Handmade Applications;Metal quantify
8;COM;Macao Unbranded;monitor ivory architect
9;User-centric Frozen payment;Keys bus;HTTP
10;multi-byte olive Unbranded;Grocery IB;engage scalable multi-state
