id;idn_var_papel;n_var_nome;idn_var_app;idn_var_usuario
1;cross-platform;integrated application;Salad Sleek envisioneer;SDD reboot
2;Vermont;Diverse Soft;Quality;feed
3;synergistic;Optimization cutting-edge Berkshire;Iceland;International Data 24
4;Money;auxiliary Yuan actuating;Ameliorated;Card Configuration
5;optimizing;Incredible override;Chair Movies;TCP Sleek
6;copy;Dong;SQL;monitor technologies Cotton
7;Netherlands;compress;Account infrastructure Marketing;Oregon
8;Hat Response;communities;Sleek bypassing;overriding Mississippi Gorgeous
9;Architect executive Factors;Technician strategize Chicken;Metal Park Tasty;open-source partnerships
10;dot-com Jamaican;Rubber grey;SSL Jewelery calculate;navigating
