id;idn_var_permissions;idn_var_papel;idn_var_features;idn_var_usuario
1;Fundamental Profound;Borders Soft benchmark;solid Architect;Stream Vermont Computer
2;cyan;Steel deposit Cote;extensible Borders Open-source;Arizona invoice
3;zero architectures;Corporate;copy;Gloves
4;Small generate;orange;expedite migration Accounts;XML
5;Shirt green Republic);bluetooth;Buckinghamshire;Expressway
6;Michigan;sensor multi-tasking Savings;bypassing Martin primary;B2B
7;Strategist;Avon;bypassing synthesize framework;Berkshire AGP deposit
8;mint;Steel Corporate Bedfordshire;e-commerce;Parkway
9;capacitor Health Reactive;Oro Intelligent;paradigm evolve;Bacon metrics
10;Shoes Loan time-frame;needs-based end-to-end;robust;explicit pixel Rustic
