id;idn_var_usuario_cadastrado;idn_var_grupo;idn_var_usuario
1;bandwidth;Virtual well-modulated;wireless
2;Bedfordshire back-end;Grass-roots optical;SQL Avenue Paradigm
3;Chair bypass Arizona;Vision-oriented;Maine pink Montana
4;Analyst enterprise Intelligent;magenta product;Handcrafted Account
5;Intelligent Vista Accounts;Wooden functionalities invoice;navigating Beauty
6;Kenyan Bike;parsing Burgs pink;matrix
7;dynamic Dollar;Grocery;parsing interface
8;Michigan B2C;hacking Face solutions;cross-platform Steel
9;transmitting;Assistant Multi-channelled application;SQL PCI
10;Organic;Drive Practical;Account Pizza Hat
