id;idn_var_usuario_cadastrado;idn_var_papel;idn_var_usuario
1;sensor engineer Frozen;Account Buckinghamshire;Small Vermont
2;Cheese dynamic Missouri;Borders Ireland;Account
3;optical;Engineer South Croatia;lavender
4;Fresh compressing interfaces;program Massachusetts;copy partnerships Representative
5;Cook throughput Dominican;Angola copying;Tools
6;Bacon SAS;connect;Thailand Intelligent
7;virtual;PCI Salad;synergistic
8;Tactics Granite;out-of-the-box;Baby Bacon
9;ADP Checking;Music;microchip
10;Kwacha Balanced alarm;Nigeria Garden Licensed;infrastructure coherent JBOD
